date, total
2019-05-14 20:00:00, 243
2019-05-14 21:00:00, 57
2019-05-14 22:00:00, nan
2019-05-14 23:00:00, nan
2019-05-15 00:00:00, nan
2019-05-15 01:00:00, nan
2019-05-15 02:00:00, nan
2019-05-15 03:00:00, nan
2019-05-15 04:00:00, nan
2019-05-15 05:00:00, nan
2019-05-15 06:00:00, nan
2019-05-15 07:00:00, nan
2019-05-15 08:00:00, nan
2019-05-15 09:00:00, 4
2019-05-15 10:00:00, 2
2019-05-15 11:00:00, 2
2019-05-15 12:00:00, 2
2019-05-15 13:00:00, nan
2019-05-15 14:00:00, nan
2019-05-15 15:00:00, 1
2019-05-15 16:00:00, 2
2019-05-15 17:00:00, 480
2019-05-15 18:00:00, 492
2019-05-15 19:00:00, 575
2019-05-15 20:00:00, 511
2019-05-15 21:00:00, 527
2019-05-15 22:00:00, 440
2019-05-15 23:00:00, 418
2019-05-16 00:00:00, 426
2019-05-16 01:00:00, 376
2019-05-16 02:00:00, 380
2019-05-16 03:00:00, 360
2019-05-16 04:00:00, 404
2019-05-16 05:00:00, 545
2019-05-16 06:00:00, 726
2019-05-16 07:00:00, 653
2019-05-16 08:00:00, 691
2019-05-16 09:00:00, 588
2019-05-16 10:00:00, 642
2019-05-16 11:00:00, 528
2019-05-16 12:00:00, 520
2019-05-16 13:00:00, 668
2019-05-16 14:00:00, 732
2019-05-16 15:00:00, 844
2019-05-16 16:00:00, 982
2019-05-16 17:00:00, 987
2019-05-16 18:00:00, 883
2019-05-16 19:00:00, 605
2019-05-16 20:00:00, 636
2019-05-16 21:00:00, 864
2019-05-16 22:00:00, 682
2019-05-16 23:00:00, 396
2019-05-17 00:00:00, 356
2019-05-17 01:00:00, 327
2019-05-17 02:00:00, 265
2019-05-17 03:00:00, 270
2019-05-17 04:00:00, 326
2019-05-17 05:00:00, 756
2019-05-17 06:00:00, 857
2019-05-17 07:00:00, 829
2019-05-17 08:00:00, 971
2019-05-17 09:00:00, 1176
2019-05-17 10:00:00, 1363
2019-05-17 11:00:00, 1303
2019-05-17 12:00:00, 1523
2019-05-17 13:00:00, 1458
2019-05-17 14:00:00, 759
2019-05-17 15:00:00, 131
2019-05-17 16:00:00, 439
2019-05-17 17:00:00, 261
2019-05-17 18:00:00, 134
2019-05-17 19:00:00, 154
2019-05-17 20:00:00, 305
2019-05-17 21:00:00, 375
2019-05-17 22:00:00, 419
2019-05-17 23:00:00, 403
2019-05-18 00:00:00, 119
2019-05-18 01:00:00, 332
2019-05-18 02:00:00, 100
2019-05-18 03:00:00, 83
2019-05-18 04:00:00, 567
2019-05-18 05:00:00, 257
2019-05-18 06:00:00, 171
2019-05-18 07:00:00, 246
2019-05-18 08:00:00, 246
2019-05-18 09:00:00, 202
2019-05-18 10:00:00, 206
2019-05-18 11:00:00, 217
2019-05-18 12:00:00, 335
2019-05-18 13:00:00, 389
2019-05-18 14:00:00, 343
2019-05-18 15:00:00, 282
2019-05-18 16:00:00, 270
2019-05-18 17:00:00, 203
2019-05-18 18:00:00, 229
2019-05-18 19:00:00, 229
2019-05-18 20:00:00, 206
2019-05-18 21:00:00, 350
2019-05-18 22:00:00, 159
2019-05-18 23:00:00, 146
2019-05-19 00:00:00, 82
2019-05-19 01:00:00, 60
2019-05-19 02:00:00, 55
2019-05-19 03:00:00, 94
2019-05-19 04:00:00, 122
2019-05-19 05:00:00, 100
2019-05-19 06:00:00, 90
2019-05-19 07:00:00, 58
2019-05-19 08:00:00, 77
2019-05-19 09:00:00, 77
2019-05-19 10:00:00, 89
2019-05-19 11:00:00, 64
2019-05-19 12:00:00, 53
2019-05-19 13:00:00, 55
2019-05-19 14:00:00, 93
2019-05-19 15:00:00, 194
2019-05-19 16:00:00, 75
2019-05-19 17:00:00, 69
2019-05-19 18:00:00, 111
2019-05-19 19:00:00, 121
2019-05-19 20:00:00, 86
2019-05-19 21:00:00, 94
2019-05-19 22:00:00, 91
2019-05-19 23:00:00, 82
2019-05-20 00:00:00, 81
2019-05-20 01:00:00, 77
2019-05-20 02:00:00, 92
2019-05-20 03:00:00, 90
2019-05-20 04:00:00, 77
2019-05-20 05:00:00, 87
2019-05-20 06:00:00, 95
2019-05-20 07:00:00, 103
2019-05-20 08:00:00, 123
2019-05-20 09:00:00, 107
2019-05-20 10:00:00, 86
2019-05-20 11:00:00, 80
2019-05-20 12:00:00, 71
2019-05-20 13:00:00, 75
2019-05-20 14:00:00, 87
2019-05-20 15:00:00, 106
2019-05-20 16:00:00, 196
2019-05-20 17:00:00, 71
2019-05-20 18:00:00, 117
2019-05-20 19:00:00, 80
2019-05-20 20:00:00, 82
2019-05-20 21:00:00, 66
2019-05-20 22:00:00, 54
2019-05-20 23:00:00, 78
2019-05-21 00:00:00, 74
2019-05-21 01:00:00, 93
2019-05-21 02:00:00, 90
2019-05-21 03:00:00, 118
2019-05-21 04:00:00, 165
2019-05-21 05:00:00, 330
2019-05-21 06:00:00, 249
2019-05-21 07:00:00, 243
2019-05-21 08:00:00, 444
2019-05-21 09:00:00, 284
2019-05-21 10:00:00, 197
2019-05-21 11:00:00, 155
2019-05-21 12:00:00, 179
2019-05-21 13:00:00, 191
2019-05-21 14:00:00, 181
2019-05-21 15:00:00, 216
2019-05-21 16:00:00, 241
2019-05-21 17:00:00, 237
2019-05-21 18:00:00, 322
2019-05-21 19:00:00, 372
2019-05-21 20:00:00, 300
2019-05-21 21:00:00, 201
2019-05-21 22:00:00, 219
2019-05-21 23:00:00, 98
2019-05-22 00:00:00, 68
2019-05-22 01:00:00, 101
2019-05-22 02:00:00, 189
2019-05-22 03:00:00, 347
2019-05-22 04:00:00, 4644
2019-05-22 05:00:00, 6216
2019-05-22 06:00:00, 262
2019-05-22 07:00:00, 290
2019-05-22 08:00:00, 238
2019-05-22 09:00:00, 225
2019-05-22 10:00:00, 244
2019-05-22 11:00:00, 224
2019-05-22 12:00:00, 277
2019-05-22 13:00:00, 203
2019-05-22 14:00:00, 239
2019-05-22 15:00:00, 186
2019-05-22 16:00:00, 200
2019-05-22 17:00:00, 183
2019-05-22 18:00:00, 198
2019-05-22 19:00:00, 273
2019-05-22 20:00:00, 214
2019-05-22 21:00:00, 222
2019-05-22 22:00:00, 188
2019-05-22 23:00:00, 180
2019-05-23 00:00:00, 224
2019-05-23 01:00:00, 194
2019-05-23 02:00:00, 169
2019-05-23 03:00:00, 176
2019-05-23 04:00:00, 197
2019-05-23 05:00:00, 463
2019-05-23 06:00:00, 455
2019-05-23 07:00:00, 355
2019-05-23 08:00:00, 344
2019-05-23 09:00:00, 313
2019-05-23 10:00:00, 350
2019-05-23 11:00:00, 293
2019-05-23 12:00:00, 320
2019-05-23 13:00:00, 418
2019-05-23 14:00:00, 423
2019-05-23 15:00:00, 488
2019-05-23 16:00:00, 455
2019-05-23 17:00:00, 399
2019-05-23 18:00:00, 493
2019-05-23 19:00:00, 458
2019-05-23 20:00:00, 355
2019-05-23 21:00:00, 275
2019-05-23 22:00:00, 225
2019-05-23 23:00:00, 154
2019-05-24 00:00:00, 161
2019-05-24 01:00:00, 103
2019-05-24 02:00:00, 137
2019-05-24 03:00:00, 127
2019-05-24 04:00:00, 231
2019-05-24 05:00:00, 290
2019-05-24 06:00:00, 359
2019-05-24 07:00:00, 580
2019-05-24 08:00:00, 656
2019-05-24 09:00:00, 699
2019-05-24 10:00:00, 529
2019-05-24 11:00:00, 551
2019-05-24 12:00:00, 448
2019-05-24 13:00:00, 485
2019-05-24 14:00:00, 244
2019-05-24 15:00:00, 368
2019-05-24 16:00:00, 382
2019-05-24 17:00:00, 299
2019-05-24 18:00:00, 201
2019-05-24 19:00:00, 217
2019-05-24 20:00:00, 200
2019-05-24 21:00:00, 123
2019-05-24 22:00:00, 63
2019-05-24 23:00:00, 66
2019-05-25 00:00:00, 80
2019-05-25 01:00:00, 68
2019-05-25 02:00:00, 95
2019-05-25 03:00:00, 62
2019-05-25 04:00:00, 65
2019-05-25 05:00:00, 95
2019-05-25 06:00:00, 260
2019-05-25 07:00:00, 175
